Username,Weekly,Monthly,AllTime
weezsus,0.0,0.0,0.0
Xegil21,0.0,0.0,49.7
Nentneon,0.0,0.5,37.4
Lynnstitution,0.0,0.1,2.0
Verite890,0.0,0.0,24.8
AmiAmi8840,0.0,0.0,49.9
awfulroffle,0.0,0.0,5.2
patcri38,0.0,0.0,43.1
Apernatixy,0.0,0.0,26.2
thatjab,0.0,0.0,25.7
lucykubbbbb,0.0,0.0,0.0
taruira027,0.0,0.0,23.8
Eggs546,0.0,0.0,24.1
LiterallySonichu,0.0,0.0,23.8
the_soupiest_boi,0.0,0.0,23.8
MoCa_CoFa,0.0,0.0,23.8
YoshinoriXXX,0.0,0.0,24.1
KrachCZ,0.0,0.0,23.8
WolfSlayer765,0.0,0.0,23.8
sIiceAxolotl,0.0,0.0,0.1
DoDominator2007,0.0,0.0,24.9
its_lucyfer,0.0,0.0,47.6
Selenyi,0.0,0.0,23.8
Welcome2someting,0.0,0.0,23.8
Gally155,0.0,0.0,23.8
Mallaka,0.0,0.0,0.8
Jabouly,0.0,0.0,23.8
h5q,0.0,0.0,23.8
EndFle,0.0,0.7,4.9
boolinrat,0.0,0.0,23.8
SuperBatBoy33,0.0,0.0,0.2
leanka20,0.0,0.0,23.8
BagoBro,0.0,0.0,0.6
TheSkywalker701,0.0,0.0,0.4
DynastyofChill,0.0,0.0,3.5
gergo0408,0.0,0.0,0.2
jarrp,0.0,0.0,3.6
brettorium,0.0,0.0,0.1
LegacyStick,0.0,0.0,1.2
coolzkid12345,0.0,0.0,0.0
Storminp123,0.0,0.5,0.7
retroguy29,0.0,0.0,0.3
Aesyche,0.0,0.2,199.3
TheLaffingFox,0.0,0.0,2.1
RightNow11,0.0,5.3,10.4
JuliusCedarII,0.0,10.4,423.7
BorkedCookie,0.0,0.0,2.9
Viperth,0.0,1.1,100.1
tednark,0.0,1.3,201.9
tomtommi,0.0,0.0,86.6
LightingFreak,0.0,0.0,1.2
AmazinglyBored,0.0,1.0,49.2
ChillRains,0.0,1.3,31.2
BorisMaurice,0.0,0.0,29.3
OnlyCoast,0.0,0.0,0.1
formalpotato,0.0,0.0,5.8
COYBIG,0.0,0.0,0.1
SolarkPlays,0.0,0.0,2.0
Monkeykiller1236,0.0,0.0,0.1
anonymouskechard,0.0,0.0,0.3
RogerRabbit29,0.0,0.0,0.1
chaosmelonking,0.0,0.0,17.3
Mossback42,0.0,0.0,1.3
shasha5706,0.0,0.0,0.0
sleepyalaa,0.0,0.0,0.0
Thatone2000,0.0,0.0,1.3
lucashil,0.0,0.0,29.9
tuvieja124,0.0,0.0,85.3
xdflam,0.0,0.0,0.6
Minilox2,0.0,0.1,46.0
CappBeCapp,0.0,0.0,7.2
SAMUderGROSSE,0.0,0.1,15.7
goatleaf,0.0,0.0,0.5
ObsidianLord21,0.0,0.0,3.1
Soulcraftx34,0.0,0.0,2.2
MissionCarp3127,0.0,0.8,106.2
AmIaHamburger,0.0,0.0,0.7
notswipu,0.0,0.0,0.2
DBestDVa,0.0,0.0,0.3
LennyDaddy,0.0,15.6,28.2
GENERALSOUNDWAVE,0.0,0.0,0.4
SnoopBurchell,0.0,0.0,25.0
Infy08,0.0,0.1,20.9
manic409,0.0,0.0,1.3
CraftyWhisper89,0.0,0.0,0.2
FlufftByteYT,0.0,0.0,23.8
WGCool,0.0,0.0,0.1
Nova1175,0.0,0.0,0.3
timewornComrade,0.0,3.3,134.0
Ankieshu33,0.0,2.5,93.9
TKTK100,0.0,0.0,7.4
Janek77Adam,0.0,0.0,75.0
Leche000,0.0,4.8,88.2
SchareG,0.0,0.0,26.2
jbirdplayer,0.0,4.1,52.1
SkidStained,0.0,0.0,13.7
binleymiff,0.0,2.5,33.9
SoulishNebula,0.0,0.0,27.4
Chicken2Go,0.0,0.0,0.0
FivetiGamer,0.0,0.0,44.6
DemonKing40987,0.0,1.6,183.9
luzing,0.0,0.0,2.1
Fake4,0.0,6.4,10.5
Belisarius30,0.0,0.0,1.9
Razorman420,0.0,0.0,11.4
Rewinb,0.0,0.0,3.0
McphersonTape,0.0,0.0,4.2
primalarmor,0.0,0.0,1.3
Otago,0.0,0.0,0.1
HammytheDigger,0.0,0.0,0.5
ZielonyDrim,0.0,0.0,0.1
rcast23c,0.0,0.0,0.0
GamerLolin,0.0,0.7,4.5
Andrzejek1400,0.0,0.0,2.8
dasdus12,0.0,0.0,0.5
GoobCurvis,0.0,0.0,15.8
noaydev,0.0,0.0,24.5
Honnit,0.0,0.0,0.1
Benigamer06,0.0,0.0,0.1
SpectreBurbank,0.0,0.1,31.9
ScootziePop,0.0,0.0,2.7
TeoMoon,0.0,0.1,68.4
poisonous333,0.0,1.7,1.7
lmburg123,0.0,0.0,8.9
Krukal,0.0,2.3,63.0
CarricIfel7,0.0,0.0,0.1
latlol,0.0,0.0,0.1
NaiadStephanie,0.0,0.7,120.9
THEgoosemonster,0.0,0.0,0.4
xuuxcp,0.0,7.4,44.1
Giuser0,0.0,0.0,0.1
Chion2,0.0,0.0,0.2
DunDunDuuunn255,0.0,23.6,61.2
Chilloutdude13,0.0,0.0,1.7
CapitanFrost,0.0,0.0,0.1
realriceman12,0.0,0.2,0.9
thomas2point0,0.0,1.2,2.6
IlIlIlIlIIIlIlIl,0.0,0.0,3.0
Itgel,0.0,0.0,0.0
JayDev7949,0.0,0.8,3.5
brachiosofus,0.0,0.0,0.1
Dougiedoodah338,0.0,0.0,0.2
Naelkya,0.0,0.0,0.0
BearBunzIII,0.0,0.5,0.5
ELBANANO68,0.0,7.8,7.8
N0t0xic,0.0,0.1,0.1
SharkToooth,0.0,9.8,9.8
BigBoyZOC,0.0,7.8,7.8
NotwiththeDarren,0.0,0.0,0.0
vilhelm2014,0.0,0.6,0.6
Rataplan655,0.0,3.2,3.2
Pyroon7,0.0,0.8,0.8
Adamdudeee,0.0,1.7,1.7
Megaxam100YT,0.0,0.4,0.4
MrKratis,0.0,0.5,0.5
YZL235,0.0,4.7,4.7
Guuseendje,0.0,8.5,8.5
xZxphyr,0.0,2.2,2.2
Jostatix,0.0,0.0,0.0
Sparacaffe,0.0,1.0,1.0
jadicus,0.0,4.9,4.9
spicylemming991,0.0,0.6,0.6
SmilenLion,0.0,0.1,0.1
promaniscool,0.0,0.1,0.1
thomuscle,0.0,10.3,10.3
Bananozz,0.0,0.6,0.6
SmileyCopFilmsYT,0.0,1.6,1.6
WaterCrown8755,0.0,0.1,0.1
mccsuperspeed,0.0,0.2,0.2
Les13,0.0,2.5,2.5
lonzoplaz,0.0,1.3,1.3
GeometricSquare,0.0,11.0,11.0
difarkqq,0.0,0.0,0.0
Fl4m3MC,0.0,0.2,0.2
hidantopchic032,0.0,0.0,0.0
cat5252gamerz,0.0,0.2,0.2
SebaCieBije,0.0,0.1,0.1
Minecraftjavapvp,0.0,0.0,0.0
redcorgi,0.0,0.0,0.0
MustyRuler,0.0,0.0,0.0
Treeman38,0.0,0.0,0.0
TEMPLU,0.0,0.0,0.0
mafomasija,0.0,0.0,0.0
LazyTulip,0.0,0.0,0.0
LittleAngelLoop,0.0,0.0,0.0
RaphiSony,0.0,0.0,0.0
Goodsodaa,0.0,0.0,0.0
jaskowanie,0.0,0.0,0.0
Scxr,0.0,0.0,0.0
davidek159,0.0,0.0,0.0
BenFlopson,0.0,0.0,0.0
Lols3,0.0,0.0,0.0
KaturaciyaPalas,0.0,0.0,0.0
Kazenku,0.0,0.0,0.0
Alexios501,0.0,0.0,0.0
Xaos546,0.0,0.0,0.0
DivinitySone,0.0,0.0,0.0
trippleJunhao,0.0,0.0,0.0
Vskow,0.0,0.0,0.0
n5ther,0.0,0.0,0.0
Kraene,0.0,0.0,0.0
TheCurseChris,0.0,0.0,0.0
LinhWMdBa1228,0.0,0.0,0.0
Pekuly,0.0,0.0,0.0
Antman071312,0.0,0.0,0.0
LiLBacon123,0.0,0.0,0.0
Reunahana5,0.0,0.0,0.0
ElXboxPolicia,0.0,0.0,0.0
Palydyn,0.0,0.0,0.0
Global24,0.0,0.0,0.0
tabdggaming,0.0,0.0,0.0
ggggggg989,0.0,0.0,0.0
Enzity,0.0,0.0,0.0
ponfi,0.0,0.0,0.0
Awptrix2493,0.0,0.0,0.0
lagmaster2011,0.0,0.0,0.0
FollowTheBear,0.0,0.0,0.0
Ruinicism,0.0,0.0,0.0
CoruHS,0.0,0.0,0.0
Justickk,0.0,0.0,0.0
diegoSe,0.0,0.0,0.0
TANKSLIT,0.0,0.0,0.0
Indianwombat,0.0,0.0,0.0
Bastian01,0.0,0.0,0.0
CriswithoutH27,0.0,0.0,0.0
promo123,0.0,0.0,0.0
PawnShop75,0.0,0.0,0.0
WillBucks15,0.0,0.0,0.0
monkeque,0.0,0.0,0.0
GoatWarden538,0.0,0.0,0.0
Mangooooo7109,0.0,0.0,0.0
thebigcheeze233,0.0,0.0,0.0
GYGFRT,0.0,0.0,0.0
volkoris,0.0,0.0,0.0
mreper,0.0,0.0,0.0
CdreckordsK,0.0,0.0,0.0
SpideyCraft7,0.0,0.0,0.0
FelicioBipe,0.0,0.0,0.0
0alejk,0.0,0.0,0.0
theoneabov,0.0,0.0,0.0
DaxelinOnDcOQTQD,0.0,0.0,0.0
CreatoinPlayz112,0.0,0.0,0.0
LinhakYrL1228,0.0,0.0,0.0
moltenlava04,0.0,0.0,0.0
Unpep,0.0,0.0,0.0
brandsynergy,0.0,0.0,0.0
qorel,0.0,0.0,0.0
magnumx8,0.0,0.0,0.0
Free4usrom1,0.0,0.0,0.0
BestGamer808860,0.0,0.0,0.0
kozak9402,0.0,0.0,0.0
Imknoot,0.0,0.0,0.0
duckws13,0.0,0.0,0.0
Vbinnie,0.0,0.0,0.0
Interlinc,0.0,0.0,0.0
madcanic,0.0,0.0,0.0
rumbleblast07,0.0,0.0,0.0
Fireplugwitch,0.0,0.0,0.0
JustFlame1,0.0,0.0,0.0
PenguinBoi69,0.0,0.0,0.0
SearCat,0.0,0.0,0.0
BrinyMicrobe90,0.0,0.0,0.0
SpaceMuhous,0.0,0.0,0.0
elpparana,0.0,0.0,0.0
ezb45,0.0,0.0,0.0
Creeperz222,0.0,0.0,0.0
Eggchansfan,0.0,0.0,0.0
AnthonyHunt,0.0,0.0,0.0
AnimalArtist236,0.0,0.0,0.0
Swagwolfia,0.0,0.0,0.0
BedrockRedstone,0.0,0.0,0.0
Ganondorf329,0.0,0.0,0.0
clarkyclips,0.0,0.0,0.0
vampsvz,0.0,0.0,0.0
Rinsabel,0.0,0.0,0.0
Luvspazy,0.0,0.0,0.0
Ashermoto12,0.0,0.0,0.0
PseudoMortal,0.0,0.0,0.0
robojpt1,0.0,0.0,0.0
ScarredDemon580,0.0,0.0,0.0
Kronkor,0.0,0.0,0.0
FlyGuy3000,0.0,0.0,0.0
BucketStarr,0.0,0.0,0.0
Cl0wn3d0n,0.0,0.0,0.0
GamingPandaX12,0.0,0.0,0.0
Xara787,0.0,0.0,0.0
JoeyTheBold,0.0,0.0,0.0
Jifjif3300,0.0,0.0,0.0
Shaynix,0.0,0.0,0.0
Imagion8802,0.0,0.0,0.0
overloudd,0.0,0.0,0.0
Henessyy,0.0,0.0,0.0
bugzbunny9,0.0,0.0,0.0
EyeCrasher,0.0,0.0,0.0
ThunderQS,0.0,0.0,0.0
TWHsmirk,0.0,0.0,0.0
dominikgora1234,0.0,0.0,0.0
KickingPencil36,0.0,0.0,0.0
CamoAlien,0.0,0.0,0.0
AdrianaRiekstina,0.0,0.0,0.0
bruhmemebreme77,0.0,0.0,0.0
5700XT,0.0,0.0,0.0
AdminMalicious,0.0,0.0,0.0
CeceliaRabbit,0.0,45.1,496.0
Pinebeard,0.0,0.0,91.4
emichan18,0.0,0.0,24.6
Byhalia,0.0,0.0,6456.1
Ahrimanne,0.0,0.0,2570.2
SkrrrtCobain,0.0,0.0,2.1
iOminous,0.0,0.0,349.5
Aralein,0.0,0.0,24.2
