Input,Output,Tags,Shop Name,Coords,Contact (IGN),City
2 Iron Ingot,#REF!,Brews,The House of Pots Tavern,"3355, 4735",,Shiroyama
1 Iron Ingot,32 Baked Potato,Food,G.D.A,"3395, 4735",,Shiroyama
1 Iron Ingot,1 Steak,Food,G.D.A,"3395, 4735",,Shiroyama
1 Diamond,1 Steak,Food,G.D.A,"3395, 4735",,Shiroyama
1 Iron Ingot,#REF!,Brews,Teas and Thank You! Tea,"3137, 4835",,Shiroyama
3 Iron Nugget,#REF!,Brews,Teas and Thank You! Tea,"3137, 4835",,Shiroyama
3 Iron Nugget,#REF!,Brews,Teas and Thank You! Tea,"3137, 4835",,Shiroyama
3 Iron Nugget,#REF!,Brews,Teas and Thank You! Tea,"3137, 4835",,Shiroyama
1 Iron Ingot,#REF!,Brews,Teas and Thank You! Tea,"3137, 4839",,Shiroyama
3 Iron Nugget,#REF!,Brews,Teas and Thank You! Tea,"3137, 4839",,Shiroyama
3 Iron Nugget,#REF!,Brews,Teas and Thank You! Tea,"3137, 4839",,Shiroyama
4 Iron Nugget,#REF!,Brews,Teas and Thank You! Tea,"3137, 4839",,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
8 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
4 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
7 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
8 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
6 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
4 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
1 Diamond,4 Ink Sac,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
9 Ink Sac,2 Diamond,Resources,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
1 Diamond,8 Gray Dye,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
1 Diamond,16 Light Gray Dye,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
5 Iron Ingot,#REF!,Dyes,Yama No Hana Dyes and Flowers,"3185, 4836",Bronnakus,Shiroyama
35 Diamond (cheaper elsewhere),#REF!,Defense,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
45 Diamond,#REF!,Defense,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
15 Diamond,#REF!,Defense,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
15 Diamond,#REF!,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
14 Diamond,1 CI Spider Eye,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
4 Diamond,1 CS Stone,Blocks,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
16 Diamond,1 CS Spruce Log,Blocks,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
1 Diamond,16 Black Dye,Dyes,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
1 Diamond,32 Bone,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
9 Diamond,64 Magma Cream,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
1 Diamond,16 Blaze Rod,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
12 Diamond,1 CS String,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
7 Diamond,16 Ender Pearl,Mob Drops,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
5 Iron Ingot,1 CI Obsidian,"Blocks, Defense",GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
35 Block of Iorn,1 CS Obsidian,"Blocks, Defense",GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
16 Diamond,1 CS Obsidian,"Blocks, Defense",GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
2 Diamond,1 Diamond Helmet,Armor,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
3 Diamond,1 Diamond Chestplate,Armor,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
3 Diamond,4 Diamond,Armor,GMALL NOT SHIRO LOL,"3400, 4945",NotWalkers,Orakuru
2 Diamond,4 Diamond,Armor,GMALL NOT SHIRO LOL,"3400, 4945",NotWalkers,Orakuru
55 Diamond,1 Diamond Helmet (p4u3aa1r3),Armor,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
35 Diamond,1 Diamond Chestplate (p4u3),Armor,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
35 Diamond,1 Diamond Leggings (p4u3),Armor,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
55 Diamond,1 Diamond Boots (p4u3ff4ds3),Armor,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
70 Diamond,1 Diamond Sword (s5u3fa2l3),"Weapons, Defense",GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
60 Diamond,1 Diamond Sword (s5u3fa2sw3),"Weapons, Defense",GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
70 Diamond,1 Diamond Sword (s5u3fa2kb2),"Weapons, Defense",GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
3 Diamond,2 Diamond Pickaxe,Tools,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
25 Diamond,1 Diamond Pickaxe (ef5f3u3),Tools,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
25 Diamond,1 Diamond Pickaxe (ef5silk1u3),Tools,GMALL Shiroyama,"3400, 4945",Walkers,Shiroyama
